question,domain
redeemall test 16,DROP
"NBA: Will the Nuggets beat the Cavaliers by more than 2.5 points in their March 18, 7:40 PM ET matchup?",Sports
NBA: Will the Timberwolves beat the Spurs by more than 8.5 points in their April 7 (8 PM ET) matchup?,Sports
"NCAAB: Will the Duke Blue Devils beat the Michigan St Spartans by more than 6.5 points in their March 20, 5:15 PM ET matchup?",Sports
"NHL: Will the Jets beat the Kings by more than 1.5 goals in their April 2, 7:00 PM ET matchup?",Sports
"qqqWill Ukraine become a European Union candidate country by July 31, 2022?",Politics & Governance
"NBA: Will the Raptors beat the Lakers by more than 8.5 points in their March 18, 7:40 PM ET matchup?",Sports
"Will the price of a barrel of crude oil be $100 or more on July 18, 2022?",Economics & Business
Will the Fed increase interest rates by 0 bps after its May meeting?,Economics & Business
"Will SpaceX's Starship successfully reach outer space by December 31, 2022?",Science & Tech
Will the Bitcoin ($BTC) Market Cap be above $1 trillion on December 25?,Economics & Business
Will Frank Ocean play Coachella Weekend 2?,Arts & Recreation
Will Charles Leclerc finish 2nd in the 2022 F1 driver standings?,Sports
"ETH above $2,000 on May 6?",Economics & Business
NBA: Will the Raptors beat the Lakers by more than 2.5 points in their March 14 (10.30 PM ET) matchup?,Sports
"Will Kevin Paffrath be Governor of California on December 31, 2021?",Politics & Governance
NBA: Will the Suns beat the Cavaliers by more than 6.5 points in their 24th November matchup?,Sports
NBA: Will the Celtics beat the Hornets by more than 4.5 points in their January 19 matchup?,Sports
"Will ETH be above $1500 on March 7th, 2021?",Economics & Business
NHL: Will the Blue Jackets beat the Sabres by more than 1.5 goals in their February 20 matchup (6 PM ET)?,Sports
NBA: Will the Clippers beat the Kings by more than 11.5 points in their April 9 (9:30 PM ET) matchup?,Sports
NHL: Will the Wild beat the Jets by more than 1.5 goals in their February 8 matchup (8 PM ET)?,Sports
NHL: Will the Stars beat the Coyotes by more than 1.5 goals in their February 20 matchup (7 PM ET)?,Sports
