question,category
question,domain
"Before 1 January 2018, will Russia and Egypt sign an agreement to establish a Russian industrial zone on the Suez Canal?",Politics & Governance
"Before 1 January 2018, will the U.S. Federal Aviation Administration grant a waiver allowing Amazon to test its unmanned aerial vehicles?",Science & Tech
"Before 1 October 2018, will a referendum repealing or amending Ireland's 'right-to-life' Eighth Amendment pass?",Politics & Governance
Will the Trans-Pacific Partnership be ratified by Congress before 20 January 2017?,Politics & Governance
"Between 1 October 2018 and 30 September 2019, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",Security & Defenses
Will there be a new episode of mass killing in India before 1 January 2017?,Politics & Governance
Will a border adjustment tax be passed by the U.S. Senate or House of Representatives before 30 April 2017?,Economics & Business
Will conservatives retain their majority in the Majles after Iran's upcoming parliamentary elections?,Politics & Governance
Will Brazil's President Dilma Rousseff resign or be impeached before 1 April 2016?,Politics & Governance
Will Iran officially lift its ban on either Facebook or Twitter before 1 October 2016?,Politics & Governance
Will ACLED record any civilian fatalities in Tunisia between 15 October 2017 and 31 October 2017?,Politics & Governance
Will California extend the current restriction on urban water use before it expires on 29 February 2016?,Politics & Governance
Will the UN declare a famine in any part of Somalia in 2017?,Politics & Governance
Will North Korea conduct a nuclear test before 1 January 2020?,Politics & Governance
Will The Birth of a Nation be nominated for a Golden Globe for Best Motion Picture - Drama?,Arts & Recreation
"Before 1 July 2018, will the European Council announce the opening of formal membership negotiations with any candidate countries or designate any new country as an official candidate for membership?",Politics & Governance
"Before 2018, will it be officially announced that any state is withdrawing from the Schengen agreement?",Politics & Governance
"Will the Republican candidate for president win the party's nomination on the first ballot, at the party's convention in July?",Politics & Governance
"As of 1 June 2017, will a European Bank own a branch office or subsidiary bank located in Iran?",Economics & Business
Will Geert Wilders become prime minister of the Netherlands after the March 2017 elections?,Politics & Governance
Will there be a new episode of mass killing in Nigeria before 1 January 2017?,Politics & Governance
Will the value of announced global mergers and acquisitions (M&A) deals during the second quarter of 2017 exceed those in the second quarter of 2016?,Economics & Business
Will Catalan pro-independence parties hold a majority of seats after the upcoming regional elections?,Politics & Governance
Will Senator Rob Portman (R-OH) be re-elected this November?,Politics & Governance
"Between 1 October 2018 and 30 September 2019, will an armed group from South Sudan engage in a campaign that systematically kills 1,000 or more civilians in South Sudan?",Politics & Governance
"Before 1 January 2019, will any other EU member state schedule a referendum on leaving the EU or the eurozone?",Politics & Governance
"Between 1 April 2018 and 31 March 2019, will an armed group from Sudan engage in a campaign that systematically kills 1,000 or more civilians in Sudan?",Politics & Governance
"Before 7 September 2017, will Colin Kaepernick be signed by an NFL team?",Sports
Will the government of Venezuela or Petroleos de Venezuela S. A. (PDVSA) default on their foreign-currency debt before 1 March 2016?,Economics & Business
Will the World Trade Organization's Iran Working Party meet before 1 January 2018?,Economics & Business
"Between 1 January 2019 and 31 December 2019, will an armed group from the Philippines engage in a campaign that systematically kills 1,000 or more civilians in the Philippines?",Politics & Governance
Will Toyota sell or lease more than 750 Mirai in the US in 2016?,Economics & Business
Will the Pakistan Muslim League (PML-N) win an overall majority of seats in the National Assembly in the 2018 general election?,Politics & Governance
Will the US or its coalition partners declare a no-fly zone in Syria before the end of the year?,Politics & Governance
Will ACLED record any civilian fatalities in Angola in October 2017?,Security & Defenses
"Between 1 October 2018 and 30 September 2019, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",Security & Defenses
"Before 1 January 2018, will SpaceX successfully relaunch an orbital-class booster within 24 hours of booster landing?",Science & Tech
"Before 1 January 2019, will either house of Congress pass a bill that would limit the president's authority to impose tariffs?",Politics & Governance
"Between 1 July 2017 and 30 June 2018, will an armed group from Yemen engage in a campaign that systematically kills 1,000 or more civilians in Yemen?",Security & Defenses
Will ACLED record a riot/protest event in the Cote d’Ivoire (Ivory Coast) for August 2017?,Politics & Governance
"Between 12 May 2017 and 1 July 2018, will two or more states ratify the Equal Rights Amendment?",Politics & Governance
Will the PITF Worldwide Atrocities Dataset record an event perpetrated by a non-state actor in Burundi (BDI) that starts between 4 October 2017 and 31 October 2017?,Politics & Governance
"Will Nawaz Sharif, whose family was recently implicated in the Panama Papers, cease to be Prime Minister of Pakistan in 2016?",Politics & Governance
Will any disputes over IAEA access to Iranian sites be referred to the Joint Commission before 1 July 2017?,Politics & Governance
Will al-Shabaab attack a US diplomatic facility in Africa before 1 July 2018?,Security & Defenses
"Will FEWS NET publish a Food Security Alert with ""famine"" and ""South Sudan"" or ""Nigeria"" in its headline between 6 September 2017 and 25 October 2017?",Economics & Business
Will India or Pakistan launch a ground offensive in Kashmir before 1 June 2017?,Politics & Governance
"Will a candidate included on the ""List of Hope"" or the ""People's Expert's List"" be elected as the next chairman of Iran's Assembly of Experts?",Politics & Governance
"Will the book ""Superforecasting"" be listed as a New York Times bestseller between 7 October 2016 and 2 January 2017?",Economics & Business
Will Donald Trump win Iowa's Republican caucus?,Politics & Governance
"Between 1 July 2017 and 30 June 2018, will an armed group from Iraq engage in a campaign that systematically kills 1,000 or more civilians in Iraq?",Security & Defenses
"Between 1 January 2019 and 31 December 2019, will an armed group from Burundi engage in a campaign that systematically kills 1,000 or more civilians in Burundi?",Politics & Governance
Will Syria hold elections for its national government before 1 January 2018?,Politics & Governance
Will there be a new episode of mass killing in Zimbabwe before 1 January 2017?,Politics & Governance
Will Tesla stock (TSLA:US) close below $200 on 29 June 2018?,Economics & Business
Will Saudi Arabia list shares of Saudi Aramco in an initial public offering before 1 January 2018?,Economics & Business
"Between 11 April 2018 and 31 July 2018, will Chinese tariffs on any US aircraft take effect?",Economics & Business
"Will Nissan sell more than 15,000 units of the LEAF in the US in 2016?",Economics & Business
Will California's Pacific Gas and Electric Company file for bankruptcy before 1 November 2019?,Economics & Business
"Will Prime Minister Benjamin Netanyahu resign, lose a vote of confidence, or call new elections before 1 November 2017?",Politics & Governance
Will Rachel Morrison win the 2018 Academy Award<sup>&reg;</sup> for Best Cinematography?,Arts & Recreation
Will the merchandise value of Iran's imports and exports in 2016 exceed $140 billion?,Economics & Business
Will Turkey impose capital controls before 1 December 2016 ?,Economics & Business
"Before 1 January 2018, will Turkey, Montenegro, Albania, Serbia, or Macedonia announce that it is suspending its participation in EU membership negotiations or withdrawing from the EU accession process?",Politics & Governance
Will Uhuru Kenyatta win Kenya’s August 2017 presidential election?,Politics & Governance
"Between 1 October 2018 and 30 September 2019, will an armed group from the Central African Republic engage in a campaign that systematically kills 1,000 or more civilians in the Central African Republic?",Politics & Governance
Will Angela Merkel be elected as chancellor of Germany after the 2017 Bundestag election?,Politics & Governance
Will a loya jirga convene in Afghanistan before 2018?,Politics & Governance
Will SpaceX launch the Falcon Heavy rocket into low earth orbit before 1 March 2017?,Science & Tech
"Between 1 January 2018 and 31 December 2018, will an armed group from Ethiopia engage in a campaign that systematically kills 1,000 or more civilians in Ethiopia?",Politics & Governance
"Between 1 April 2018 and 31 March 2019, will an armed group from Iraq engage in a campaign that systematically kills 1,000 or more civilians in Iraq?",Security & Defenses
Will Ashraf Ghani cease to be president of Afghanistan before 1 July 2017?,Politics & Governance
Will more than 1 million refugees and migrants arrive in Europe by sea in 2016?,Politics & Governance
Will the European Union suspend any of Poland's membership rights in 2016?,Politics & Governance
"Before 1 July 2018, will the Council of the European Union adopt a directive on taxation of digital business activities?",Economics & Business
Will negotiations on a China-Gulf Cooperation Council (GCC) free trade agreement be completed before 1 October 2017?,Economics & Business
"In National Institute of Family and Life Advocates v. Becerra, will the Supreme Court rule that any state-licensed healthcare providers were improperly denied an injunction over California's Reproductive FACT Act?",Politics & Governance
"Between 1 July 2018 and 30 June 2019, will an armed group from Turkey engage in a campaign that systematically kills 1,000 or more civilians in Turkey?",Politics & Governance
"Before the end of 2016, will a North American country, the EU, or an EU member state impose sanctions on another country in response to a cyber attack or cyber espionage?",Politics & Governance
"Will FEWS NET publish a Food Security Alert with ""famine"" and ""Yemen"" in its headline between 9 August 2017 and 25 October 2017?",Economics & Business
Will the Department of Justice indict Hillary Clinton before 8 November 2016?,Politics & Governance
Will Justin Trudeau cease to be prime minister of Canada after the next federal election?,Politics & Governance
"Between 1 October 2017 and 30 September 2018, will an armed group from Burundi engage in a campaign that systematically kills 1,000 or more civilians in Burundi?",Politics & Governance
"Before 1 January 2018, will the FCC cease to regulate broadband service providers as common carriers under Title II of the Communications Act?",Politics & Governance
"Before 1 January 2018, will Iran's monthly oil production exceed 4 million barrels per day?",Economics & Business
Will there be a new episode of mass killing in Yemen before 1 January 2017?,Politics & Governance
"Before 18 October 2016, will the US announce that it is opening a consulate or embassy in Iran?",Politics & Governance
Will the winner of the popular vote in the US presidential election also win the electoral college?,Politics & Governance
Will formal negotiations between Russia and the United States on a new nuclear arms control treaty or an extension/modification of an existing nuclear arms control treaty begin before 1 October 2019?,Security & Defenses
"Between 1 January 2019 and 31 December 2019, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",Security & Defenses
"Between 1 January 2019 and 31 December 2019, will an armed group from Yemen engage in a campaign that systematically kills 1,000 or more civilians in Yemen?",Politics & Governance
"Before 31 December 2017, will President Trump sign legislation removing the ACA's individual mandate to purchase health insurance?",Politics & Governance
"Before 1 August 2016, will the International Monetary Fund (IMF) approve release of the next tranche of its loan to Ukraine?",Economics & Business
Will Poland reinstate visa-free travel for Kaliningrad before 2018?,Politics & Governance
Will Iran's President Hassan Rouhani meet Saudi Arabia's King Salman bin Abdulaziz Al Saud before 1 September 2016?,Politics & Governance
"Before 1 January 2018, will two of the three major credit rating agencies adjust the long-term issuer credit rating of Venezuela or the PDVSA to indicate default?",Economics & Business
"Between 1 October 2017 and 30 September 2018, will an armed group from the Democratic Republic of the Congo engage in a campaign that systematically kills 1,000 or more civilians in the Democratic Republic of the Congo?",Security & Defenses
"Will there be a lethal confrontation in the South or East China Sea between the military forces, militia, or law enforcement personnel of China and another country before 1 January 2019?",Security & Defenses
Will Afghanistan's parliamentary elections be held as scheduled on 15 October 2016?,Politics & Governance
"Between 1 July 2018 and 30 June 2019, will an armed group from Nigeria engage in a campaign that systematically kills 1,000 or more civilians in Nigeria?",Security & Defenses
"In Weyerhaeuser Company v. US Fish and Wildlife Service (FWS), will the Supreme Court rule that the FWS erroneously applied the Endangered Species Act (ESA) to any private land in St. Tammany Parish, Louisiana?",Politics & Governance
"Between 12 August 2016 and the end of 2016, will any US state enact legislation that allows autonomous vehicles to operate on its public roads?",Science & Tech
"Between 1 July 2017 and 30 June 2018, will an armed group from South Sudan engage in a campaign that systematically kills 1,000 or more civilians in South Sudan?",Politics & Governance
"Between 1 January 2018 and 31 December 2018, will an armed group from Myanmar engage in a campaign that systematically kills 1,000 or more civilians in Myanmar?",Politics & Governance
Will Winds of Winter be released before Season 6 of Game of Thrones airs?,Arts & Recreation
Will the Federal Open Market Committee decide to raise the interest rate on excess reserve balances at or before its scheduled September 2017 meeting?,Economics & Business
"Between 1 January 2018 and 31 December 2018, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",Security & Defenses
"Will Montenegro's Milo Djukanovic resign, lose a vote of confidence, or cease to be Prime Minister before 1 January 2016?",Politics & Governance
Will there be a new episode of mass killing in Democratic Republic of Congo before 1 January 2017?,Politics & Governance
"Will annual sales of electric vehicles in China reach 500,000 in 2016?",Economics & Business
"Between 1 April 2017 and 31 March 2018, will an armed group from Zimbabwe engage in a campaign that systematically kills 1,000 or more civilians in Zimbabwe?",Politics & Governance
"Between 1 April 2018 and 31 March 2019, will an armed group from Bangladesh engage in a campaign that systematically kills 1,000 or more civilians in Bangladesh?",Security & Defenses
Will the UN Security Council adopt a resolution concerning the Democratic People's Republic of Korea between 7 September 2017 and 4 October 2017?,Politics & Governance
"Will ""Captain America: Civil War"" gross more in its opening weekend in the US than ""Batman vs. Superman: Dawn of Justice"" did?",Arts & Recreation
Will Montenegro become a NATO member in 2016?,Politics & Governance
"In 2016 will the Permanent Court of Arbitration rule that China's ""nine-dash line"" is contrary to the UN Convention on the Law of the Sea (UNCLOS)?",Politics & Governance
Will the Political Instability Task Force (PITF) Worldwide Atrocities Dataset record an event perpetrated by a non-state actor in Honduras (HND) that starts between 1 September 2017 and 30 September 2017?,Politics & Governance
"Before 1 July 2019, will Daniel Ortega cease to be president of Nicaragua?",Politics & Governance
Will Venezuela or its state-owned oil company Petroleos de Venezuela SA (PDVSA) default on any of its foreign debt before 1 February 2017?,Economics & Business
Will farmland values in the Seventh Federal Reserve District be higher in the first quarter of 2017 than they were in first quarter of 2016?,Economics & Business
"Between 1 January 2018 and 31 December 2018, will an armed group from the Central African Republic engage in a campaign that systematically kills 1,000 or more civilians in the Central African Republic?",Politics & Governance
"Between 1 July 2018 and 30 June 2019, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",Security & Defenses
"Between 1 October 2018 and 30 September 2019, will an armed group from Zimbabwe engage in a campaign that systematically kills 1,000 or more civilians in Zimbabwe?",Politics & Governance
"Before 1 July 2018, will Ashraf Ghani cease to be president of Afghanistan?",Politics & Governance
